cellID	cluster	color
B1_cell121	2	#CCFF00FF
B1_cell122	3	#00FF66FF
B1_cell123	1	#FF0000FF
B1_cell124	3	#00FF66FF
B1_cell125	3	#00FF66FF
B1_cell126	2	#CCFF00FF
B1_cell127	3	#00FF66FF
B1_cell128	2	#CCFF00FF
B1_cell129	1	#FF0000FF
B1_cell130	1	#FF0000FF
B1_cell131	3	#00FF66FF
B1_cell132	5	#CC00FFFF
B1_cell133	3	#00FF66FF
B1_cell134	1	#FF0000FF
B1_cell135	5	#CC00FFFF
B1_cell136	5	#CC00FFFF
B1_cell137	3	#00FF66FF
B1_cell138	5	#CC00FFFF
B1_cell139	2	#CCFF00FF
B1_cell140	2	#CCFF00FF
B1_cell141	2	#CCFF00FF
B1_cell142	5	#CC00FFFF
B1_cell143	2	#CCFF00FF
B1_cell144	1	#FF0000FF
B1_cell145	5	#CC00FFFF
B1_cell146	3	#00FF66FF
B1_cell147	3	#00FF66FF
B1_cell148	5	#CC00FFFF
B1_cell149	5	#CC00FFFF
B1_cell150	5	#CC00FFFF
B1_cell151	3	#00FF66FF
B1_cell152	5	#CC00FFFF
B1_cell153	1	#FF0000FF
B1_cell154	1	#FF0000FF
B1_cell155	4	#0066FFFF
B1_cell156	5	#CC00FFFF
B1_cell157	2	#CCFF00FF
B1_cell158	5	#CC00FFFF
B1_cell159	5	#CC00FFFF
B1_cell160	5	#CC00FFFF
B1_cell161	5	#CC00FFFF
B1_cell162	3	#00FF66FF
B1_cell163	2	#CCFF00FF
B1_cell164	5	#CC00FFFF
B1_cell165	3	#00FF66FF
B1_cell166	2	#CCFF00FF
B1_cell167	1	#FF0000FF
B1_cell168	4	#0066FFFF
B1_cell169	1	#FF0000FF
B1_cell170	1	#FF0000FF
B1_cell171	3	#00FF66FF
B1_cell172	3	#00FF66FF
B1_cell173	5	#CC00FFFF
B1_cell174	3	#00FF66FF
B1_cell175	3	#00FF66FF
B1_cell176	2	#CCFF00FF
B1_cell177	2	#CCFF00FF
B1_cell178	2	#CCFF00FF
B1_cell179	2	#CCFF00FF
B1_cell180	1	#FF0000FF
B1_cell181	2	#CCFF00FF
B1_cell182	1	#FF0000FF
B1_cell183	2	#CCFF00FF
B1_cell184	5	#CC00FFFF
B1_cell185	2	#CCFF00FF
B1_cell186	4	#0066FFFF
B1_cell187	4	#0066FFFF
B1_cell188	5	#CC00FFFF
B1_cell189	2	#CCFF00FF
B1_cell190	5	#CC00FFFF
B1_cell191	4	#0066FFFF
B1_cell192	3	#00FF66FF
B1_cell193	3	#00FF66FF
B1_cell194	3	#00FF66FF
B1_cell195	5	#CC00FFFF
B1_cell196	1	#FF0000FF
B1_cell197	2	#CCFF00FF
B1_cell198	4	#0066FFFF
B1_cell199	3	#00FF66FF
B1_cell200	2	#CCFF00FF
B1_cell201	4	#0066FFFF
B1_cell202	3	#00FF66FF
B1_cell203	4	#0066FFFF
B1_cell204	3	#00FF66FF
B1_cell205	2	#CCFF00FF
B1_cell206	3	#00FF66FF
B1_cell207	2	#CCFF00FF
B1_cell208	1	#FF0000FF
B1_cell209	5	#CC00FFFF
B1_cell210	4	#0066FFFF
B1_cell211	3	#00FF66FF
B1_cell212	1	#FF0000FF
B1_cell213	3	#00FF66FF
B1_cell214	2	#CCFF00FF
B1_cell215	2	#CCFF00FF
B1_cell216	3	#00FF66FF
B1_cell217	4	#0066FFFF
B1_cell218	3	#00FF66FF
B1_cell219	2	#CCFF00FF
B1_cell220	4	#0066FFFF
B1_cell221	5	#CC00FFFF
